;ANO_ELEICAO;SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NM_URNA_CANDIDATO;CD_SITUACAO_CANDIDATURA;SG_PARTIDO;NR_IDADE_DATA_POSSE;DS_GENERO;DS_GRAU_INSTRUCAO;DS_ESTADO_CIVIL;DS_COR_RACA;DS_OCUPACAO;VR_DESPESA_MAX_CAMPANHA;ST_REELEICAO;ST_DECLARAR_BENS;ST_CANDIDATO_INSERIDO_URNA;VR_BEM_CANDIDATO;DS_SIT_TOT_TURNO;QT_VOTOS_NOMINAIS;eleito;Prob_0;Prob_1
877;2020;SP;SÃO PAULO;VEREADOR;250000641047;KLEBER KIBE;12;PL;37;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS;3675197.12;N;S;SIM;535.0;SUPLENTE;267.0;0;0.9177246515430111;0.08227534845698897
878;2020;SP;SÃO PAULO;VEREADOR;250000686816;AILTON AMARAL;12;PSOL;50;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PRETA;PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL;3675197.12;N;S;SIM;28000.0;SUPLENTE;1527.0;0;0.9627077631109102;0.03729223688908982
879;2020;SP;SÃO PAULO;VEREADOR;250000706719;TATHIANA FREIRE NUNES;12;PV;45;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;3675197.12;N;S;SIM;334361.6;SUPLENTE;222.0;0;0.9456556810708825;0.054344318929117556
880;2020;SP;SÃO PAULO;VEREADOR;250000640978;AIRTON NEVES;12;PL;55;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);BRANCA;MOTORISTA PARTICULAR;3675197.12;N;S;SIM;394111.49;SUPLENTE;1861.0;0;0.9704969553795574;0.02950304462044264
881;2020;SP;SÃO PAULO;VEREADOR;250000706762;LEANDRO SILVA;12;PV;38;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;JORNALISTA E REDATOR;3675197.12;N;S;SIM;250909.9;SUPLENTE;2180.0;0;0.9183493912055389;0.08165060879446108
882;2020;SP;SÃO PAULO;VEREADOR;250000687505;MARTA LUCAS;12;PC do B;47;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;OUTROS;3675197.12;N;S;SIM;54119.52;NÃO ELEITO;1449.0;0;0.9547419957872926;0.045258004212707405
883;2020;SP;SÃO PAULO;VEREADOR;250000885492;MEDEIRO É TRABALHO;12;SOLIDARIEDADE;72;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);BRANCA;OUTROS;3675197.12;N;S;SIM;368258.45;NÃO ELEITO;0.0;0;0.9900950836310215;0.009904916368978497
884;2020;SP;SÃO PAULO;VEREADOR;250000881920;IRANILDO;12;PTB;64;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;3675197.12;N;S;SIM;600000.0;SUPLENTE;33.0;0;0.9825748273636269;0.017425172636373065
885;2020;SP;SÃO PAULO;VEREADOR;250001123272;SERJÃO DA NEGRITUDE;12;PSB;47;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;OUTROS;3675197.12;N;S;SIM;348418.03;SUPLENTE;1032.0;0;0.9518109255149145;0.04818907448508547
886;2020;SP;SÃO PAULO;VEREADOR;250000651056;CAIO MIRANDA CARNEIRO;12;DEM;38;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;ADVOGADO;3675197.12;N;S;SIM;58266.45;SUPLENTE;9133.0;0;0.9215556876274451;0.07844431237255486
887;2020;SP;SÃO PAULO;VEREADOR;250000651017;BETTH RIPOLLI;12;DEM;68;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;ESCRITOR E CRÍTICO;3675197.12;N;S;SIM;3751990.73;SUPLENTE;557.0;0;0.972832380261494;0.027167619738506007
888;2020;SP;SÃO PAULO;VEREADOR;250001054406;TREINADOR LUIZ SOUZA;3;PMN;41;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;OUTROS;3675197.12;N;S;SIM;2400.0;NÃO ELEITO;0.0;0;0.9352933172480746;0.06470668275192541
889;2020;SP;SÃO PAULO;VEREADOR;250000651038;PROFESSORA JANDIRA;12;DEM;72;FEMININO;SUPERIOR COMPLETO;VIÚVO(A);PARDA;PEDAGOGO;3675197.12;N;S;SIM;920834.17;SUPLENTE;186.0;0;0.9887804419045565;0.011219558095443491
890;2020;SP;SÃO PAULO;VEREADOR;250001016189;LUIS SOBRAL;12;PSD;43;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;EMPRESÁRIO;3675197.12;N;S;SIM;36260.99;SUPLENTE;3364.0;0;0.9423531563573949;0.057646843642605056
891;2020;SP;SÃO PAULO;VEREADOR;250001097223;WILKY ANDRADE;12;PTC;53;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;VIGILANTE;3675197.12;N;S;SIM;4000.0;NÃO ELEITO;223.0;0;0.9692809199986;0.030719080001399977
892;2020;SP;SÃO PAULO;VEREADOR;250000661710;LIGIA MENDES;12;UP;41;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;FONOAUDIÓLOGO;3675197.12;N;S;SIM;397507.66000000003;NÃO ELEITO;3220.0;0;0.929695614757696;0.07030438524230401
893;2020;SP;SÃO PAULO;VEREADOR;250000658716;MAYARA TAVARES;12;PATRIOTA;26;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;EMPRESÁRIO;3675197.12;N;S;SIM;219118.16999999998;SUPLENTE;451.0;0;0.8383261331271711;0.16167386687282892
894;2020;SP;SÃO PAULO;VEREADOR;250000651042;JONAS CAMISA NOVA;12;DEM;32;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;EMPRESÁRIO;3675197.12;N;S;SIM;122439.65000000001;SUPLENTE;4365.0;0;0.8868926184124153;0.11310738158758465
895;2020;SP;SÃO PAULO;VEREADOR;250000944971;FALCÃO;3;CIDADANIA;61;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);BRANCA;EMPRESÁRIO;3675197.12;N;S;SIM;3100000.0;NÃO ELEITO;0.0;0;0.9634068528927433;0.03659314710725675
896;2020;SP;SÃO PAULO;VEREADOR;250000789493;ANDRE ALVES;12;PT;38;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;ADMINISTRADOR;3675197.12;N;S;SIM;60000.0;SUPLENTE;483.0;0;0.9215313004286;0.07846869957139999
897;2020;SP;SÃO PAULO;VEREADOR;250001123219;GERALDO NÓBREGA;12;PSB;52;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS;3675197.12;N;S;SIM;149645.33000000002;SUPLENTE;804.0;0;0.9662247814193582;0.03377521858064177
898;2020;SP;SÃO PAULO;VEREADOR;250000651071;SILVIA SIENA;12;DEM;46;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS;3675197.12;N;S;SIM;41133.63;SUPLENTE;1211.0;0;0.9520054026445853;0.04799459735541466
899;2020;SP;SÃO PAULO;VEREADOR;250000811393;INARA MEL;12;PODE;45;FEMININO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;OUTROS;3675197.12;N;S;SIM;9000.0;SUPLENTE;333.0;0;0.9492865369895143;0.050713463010485765
900;2020;SP;SÃO PAULO;VEREADOR;250000651065;SANDRO DE TOLEDO;12;DEM;48;MASCULINO;LÊ E ESCREVE;SOLTEIRO(A);BRANCA;OUTROS;3675197.12;N;S;SIM;0.0;SUPLENTE;603.0;0;0.9579946249149882;0.04200537508501178
901;2020;SP;SÃO PAULO;VEREADOR;250000641034;ANTONINHA;12;PL;51;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;EMPREGADO DOMÉSTICO;3675197.12;N;S;SIM;60.0;SUPLENTE;23.0;0;0.9651771809774918;0.034822819022508125
902;2020;SP;SÃO PAULO;VEREADOR;250000706726;TIAGO MOTO-BOY;12;PV;37;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);PARDA;MOTOBOY;3675197.12;N;S;SIM;8700.0;SUPLENTE;97.0;0;0.9175218097560067;0.08247819024399322
903;2020;SP;SÃO PAULO;VEREADOR;250001154719;VINÍCIUS LIMA;12;REDE;25;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;JORNALISTA E REDATOR;3675197.12;N;S;SIM;16825.75;NÃO ELEITO;4370.0;0;0.8358255244590288;0.16417447554097123
904;2020;SP;SÃO PAULO;VEREADOR;250001054364;MARIA LIMA PASSARELLO;12;PMN;62;FEMININO;SUPERIOR COMPLETO;SEPARADO(A) JUDICIALMENTE;BRANCA;ADVOGADO;3675197.12;N;S;SIM;95121.36000000002;NÃO ELEITO;123.0;0;0.9822911784215234;0.017708821578476645
905;2020;SP;SÃO PAULO;VEREADOR;250000640970;REINALDO FERNANDES;12;PL;37;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;POLICIAL MILITAR;3675197.12;N;S;SIM;49000.0;SUPLENTE;996.0;0;0.9169242554988424;0.08307574450115762
906;2020;SP;SÃO PAULO;VEREADOR;250001100739;CARLOS MIGUEL;3;PMB;69;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;ANALISTA DE SISTEMAS;3675197.12;N;S;SIM;782063.3500000001;NÃO ELEITO;0.0;0;0.9868257193742154;0.013174280625784617
