Ano,Rodada,Data,Mandante,Visitante,Gol.Mandante,Gol.Visitante,Total Gols,GP_m_20,GP_v_20,GC_m_20,GC_v_20,ShotsP_m_20,ShotsP_v_20,Elo_Dif_Abs
2019,7,06/02/19 19:00,Atletico-MG,CSA,4,0,4,NA,NA,NA,NA,NA,NA,4.656971819
2019,7,06/02/19 11:00,Botafogo,Vasco,1,0,1,22,19,19,24,223,257,2.953870626
2019,7,06/02/19 16:00,Ceara,Santos,0,1,1,27,25,20,23,261,287,1.809611423
2019,7,06/02/19 19:00,Chapecoense,Palmeiras,1,2,3,17,41,23,11,251,280,8.188496902
2019,7,06/02/19 19:00,Internacional,Avai,2,0,2,27,18,21,28,250,255,5.404411177
2019,7,06/02/19 16:00,Sao Paulo,Cruzeiro,1,1,2,16,22,18,28,224,243,2.846413996
2019,8,06/07/19 20:30,Vasco,Internacional,2,1,3,17,28,24,19,NA,NA,4.825555013
2019,8,06/08/19 21:00,Avai,Sao Paulo,0,0,0,17,17,29,19,257,231,4.657702108
2019,8,06/08/19 19:30,Ceara,Bahia,0,0,0,25,24,21,19,257,288,1.474699019
2019,8,06/08/19 19:00,Cruzeiro,Corinthians,0,0,0,23,16,29,18,NA,NA,0.929077294
2019,8,06/08/19 19:00,Gremio,Fortaleza,1,0,1,25,18,26,34,NA,NA,2.305289772
2019,8,06/08/19 16:30,Palmeiras,Athletico-PR,1,0,1,NA,NA,NA,NA,287,295,10.19009531
2019,8,06/09/19 19:00,CSA,Botafogo,1,2,3,NA,NA,NA,NA,NA,NA,3.546217077
2019,8,06/09/19 19:00,Fluminense,Flamengo,0,0,0,20,36,31,17,268,301,5.942882224
2019,8,06/09/19 19:00,Santos,Atletico-MG,3,1,4,25,27,21,21,286,282,0.557814149
2019,8,06/10/19 20:00,Goias,Chapecoense,3,1,4,23,16,34,24,254,258,1.209161422
2019,9,06/12/19 19:15,Botafogo,Gremio,0,1,1,20,23,17,24,219,270,1.021657207
2019,9,06/12/19 21:30,CSA,Flamengo,0,2,2,NA,NA,NA,NA,NA,NA,6.246036709
2019,9,06/12/19 21:00,Fortaleza,Cruzeiro,2,1,3,15,21,34,28,NA,NA,1.379701577
2019,9,06/12/19 21:30,Internacional,Bahia,3,1,4,28,23,20,17,261,282,1.372344704
2019,9,06/12/19 21:30,Santos,Corinthians,1,0,1,27,14,21,17,297,218,2.04521644
2019,9,06/13/19 20:00,Atletico-MG,Sao Paulo,1,1,2,27,16,22,18,279,231,0.685374449
2019,9,06/13/19 20:00,Chapecoense,Fluminense,1,1,2,16,18,25,30,260,277,0.631734972
2019,9,06/13/19 20:00,Goias,Athletico-PR,2,1,3,NA,NA,NA,NA,262,292,0.811555011
2019,9,06/13/19 20:00,Palmeiras,Avai,2,0,2,42,17,11,27,299,260,10.50475951
2019,9,06/13/19 19:15,Vasco,Ceara,1,0,1,18,23,24,18,261,273,0.597553844
2019,10,07/13/19 19:00,Bahia,Santos,0,1,1,24,27,20,21,NA,NA,2.316237399
2019,10,07/13/19 17:00,Fortaleza,Avai,2,0,2,16,16,34,27,NA,NA,1.262091355
2019,10,07/13/19 17:00,Gremio,Vasco,2,1,3,23,18,24,23,NA,NA,2.553325793
2019,10,07/13/19 19:00,Sao Paulo,Palmeiras,1,1,2,15,41,17,10,NA,NA,5.882337428
2019,10,07/14/19 17:00,Athletico-PR,Internacional,1,0,1,NA,NA,NA,NA,300,262,5.349080442
2019,10,07/14/19 19:00,Chapecoense,Atletico-MG,1,2,3,16,23,23,21,266,277,3.784447861
2019,10,07/14/19 16:00,Corinthians,CSA,1,0,1,NA,NA,NA,NA,NA,NA,3.359100873
2019,10,07/14/19 16:00,Cruzeiro,Botafogo,0,0,0,21,18,27,16,272,217,2.094087478
2019,10,07/14/19 16:00,Flamengo,Goias,6,1,7,36,26,16,32,318,267,5.377382046
2019,10,07/15/19 20:00,Fluminense,Ceara,1,1,2,19,20,30,18,NA,NA,0.664757233
2019,11,07/20/19 17:00,Bahia,Cruzeiro,0,0,0,22,21,19,25,NA,NA,1.050896526
2019,11,07/20/19 19:00,Ceara,Palmeiras,2,0,2,21,40,19,11,NA,NA,8.662219481
2019,11,07/20/19 19:00,CSA,Athletico-PR,0,4,4,NA,NA,NA,NA,NA,NA,0.996648221
2019,11,07/20/19 19:00,Internacional,Gremio,1,1,2,28,23,19,23,NA,NA,0.14455084
2019,11,07/20/19 11:00,Vasco,Fluminense,2,1,3,18,16,24,31,NA,NA,0.710963494
2019,11,07/21/19 16:00,Atletico-MG,Fortaleza,2,2,4,25,18,21,32,NA,NA,3.894219666
2019,11,07/21/19 19:00,Avai,Goias,0,0,0,16,24,28,38,258,260,1.535645364
2019,11,07/21/19 11:00,Botafogo,Santos,0,1,1,17,27,15,21,207,307,2.247684821
2019,11,07/21/19 16:00,Corinthians,Flamengo,1,1,2,14,39,17,17,220,335,3.545708163
2019,11,07/22/19 20:00,Sao Paulo,Chapecoense,4,0,4,16,16,16,25,NA,NA,4.114668576
2019,12,07/27/19 19:00,Cruzeiro,Athletico-PR,0,2,2,NA,NA,NA,NA,NA,NA,0.70877315
2019,12,07/27/19 19:00,Fluminense,Sao Paulo,1,2,3,17,19,30,13,NA,NA,4.504845433
2019,12,07/27/19 19:00,Internacional,Ceara,1,0,1,26,22,19,17,NA,NA,1.878450259
2019,12,07/27/19 17:00,Palmeiras,Vasco,1,1,2,38,18,13,25,NA,NA,7.714961916
2019,12,07/28/19 11:00,Chapecoense,Bahia,0,0,0,16,20,28,19,259,283,2.024673939
2019,12,07/28/19 16:00,Flamengo,Botafogo,3,2,5,37,17,18,16,325,208,3.431828201
2019,12,07/28/19 19:00,Fortaleza,Corinthians,1,3,4,20,15,34,15,NA,NA,1.48568798
2019,12,07/28/19 19:00,Goias,Atletico-MG,0,0,0,24,27,36,23,252,281,3.806661341
2019,12,07/28/19 16:00,Santos,Avai,3,1,4,27,15,21,27,308,256,7.1465185
2019,12,07/29/19 20:00,CSA,Gremio,0,0,0,NA,NA,NA,NA,NA,NA,5.785288479
2019,13,08/03/19 19:00,Ceara,Fortaleza,2,1,3,20,18,18,33,NA,NA,1.148840392
2019,13,08/03/19 19:00,Fluminense,Internacional,2,1,3,17,25,32,17,NA,NA,4.629005917
2019,13,08/04/19 19:00,Atletico-MG,Cruzeiro,2,0,2,27,18,22,25,280,256,3.859295571
2019,13,08/04/19 16:00,Avai,Botafogo,0,2,2,14,19,29,18,256,211,3.724132196
2019,13,08/04/19 16:00,Bahia,Flamengo,3,0,3,19,36,19,20,290,329,4.382743898
2019,13,08/04/19 19:00,Corinthians,Palmeiras,1,1,2,18,37,15,13,231,315,5.128870726
2019,13,08/04/19 11:00,Santos,Goias,6,1,7,28,22,20,33,318,255,5.494535287
2019,13,08/04/19 19:00,Vasco,CSA,0,0,0,NA,NA,NA,NA,NA,NA,3.18816857
2019,13,08/05/19 20:00,Gremio,Chapecoense,3,3,6,23,16,21,25,NA,NA,4.040461929
2019,7,08/07/19 19:15,Corinthians,Goias,2,0,2,17,23,14,36,NA,NA,2.91371969
2019,14,08/10/19 21:00,Atletico-MG,Fluminense,2,1,3,28,19,20,30,NA,NA,4.538526253
2019,14,08/10/19 17:00,Ceara,Chapecoense,4,1,5,20,18,18,28,NA,NA,1.812087143
2019,14,08/10/19 19:00,Flamengo,Gremio,3,1,4,35,23,22,20,NA,NA,2.176900671
2019,14,08/10/19 17:00,Sao Paulo,Santos,3,2,5,21,31,14,21,NA,NA,1.526717924
2019,14,08/11/19 16:00,Avai,Cruzeiro,2,2,4,12,15,29,26,265,257,2.016981111
2019,14,08/11/19 16:00,Botafogo,Athletico-PR,2,1,3,NA,NA,NA,NA,211,305,1.693382209
2019,14,08/11/19 20:00,CSA,Fortaleza,0,2,2,NA,NA,NA,NA,NA,NA,1.571172586
2019,14,08/11/19 19:00,Goias,Vasco,0,1,1,22,17,35,23,265,256,0.969360458
2019,14,08/11/19 11:00,Internacional,Corinthians,0,0,0,25,17,18,13,264,226,0.19465943
2019,14,08/11/19 16:00,Palmeiras,Bahia,2,2,4,37,21,13,17,315,289,5.731324032
2019,15,08/17/19 19:00,Athletico-PR,Atletico-MG,1,0,1,NA,NA,NA,NA,NA,NA,3.616175246
2019,15,08/17/19 17:00,Corinthians,Botafogo,2,0,2,17,21,12,17,NA,NA,0.522055883
2019,15,08/17/19 17:00,Fortaleza,Internacional,0,1,1,20,23,31,17,NA,NA,2.407452808
2019,15,08/17/19 21:00,Gremio,Palmeiras,1,1,2,23,36,23,13,NA,NA,4.673425516
2019,15,08/17/19 19:00,Vasco,Flamengo,1,4,5,17,36,23,21,NA,NA,4.07643892
2019,15,08/18/19 16:00,Bahia,Goias,1,1,2,22,22,19,35,281,267,3.292027135
2019,15,08/18/19 19:00,Chapecoense,Avai,1,0,1,19,14,31,27,274,271,1.629768335
2019,15,08/18/19 16:00,Cruzeiro,Santos,2,0,2,15,31,27,21,261,321,5.491696576
2019,15,08/18/19 16:00,Fluminense,CSA,0,1,1,NA,NA,NA,NA,NA,NA,1.820584516
2019,15,08/18/19 16:00,Sao Paulo,Ceara,1,0,1,23,24,16,18,244,241,2.938661257
2019,13,08/21/19 19:15,Athletico-PR,Sao Paulo,0,1,1,NA,NA,NA,NA,NA,NA,3.752041155
2019,16,08/24/19 11:00,Atletico-MG,Bahia,0,1,1,29,21,20,18,NA,NA,1.50971498
2019,16,08/24/19 17:00,Gremio,Athletico-PR,2,1,3,NA,NA,NA,NA,NA,NA,2.191540662
2019,16,08/25/19 19:00,Avai,Corinthians,1,1,2,13,18,26,11,254,228,6.15902157
2019,16,08/25/19 19:00,Ceara,Flamengo,0,3,3,23,39,18,20,230,322,4.403719194
2019,16,08/25/19 19:00,CSA,Cruzeiro,1,1,2,NA,NA,NA,NA,NA,NA,2.28153569
2019,16,08/25/19 16:00,Goias,Internacional,2,1,3,21,23,35,16,264,261,3.850742272
2019,16,08/25/19 16:00,Santos,Fortaleza,3,3,6,31,20,22,29,NA,NA,4.801733307
2019,16,08/25/19 16:00,Vasco,Sao Paulo,2,0,2,17,22,25,13,263,246,4.43864059
2019,16,08/26/19 20:00,Botafogo,Chapecoense,0,0,0,19,19,18,31,NA,NA,2.817986733
2019,17,08/31/19 19:00,Athletico-PR,Ceara,1,0,1,NA,NA,NA,NA,NA,NA,0.634539523
2019,17,08/31/19 17:00,Bahia,CSA,1,0,1,NA,NA,NA,NA,NA,NA,4.64135695
